,Date,AQI,Sample_Duration,Pollutant_Type
527,1982-07-11,0,1 HOUR,42401
528,1982-07-12,0,1 HOUR,42401
529,1982-07-12,0,1 HOUR,42401
530,1982-07-13,0,1 HOUR,42401
531,1982-07-13,0,1 HOUR,42401
532,1982-07-14,0,1 HOUR,42401
533,1982-07-14,0,1 HOUR,42401
534,1982-07-15,0,1 HOUR,42401
535,1982-07-15,0,1 HOUR,42401
536,1982-07-16,0,1 HOUR,42401
537,1982-07-16,0,1 HOUR,42401
538,1982-07-17,0,1 HOUR,42401
539,1982-07-17,0,1 HOUR,42401
540,1982-07-18,51,1 HOUR,42401
541,1982-07-18,51,1 HOUR,42401
542,1982-07-19,47,1 HOUR,42401
543,1982-07-19,47,1 HOUR,42401
544,1982-07-20,0,1 HOUR,42401
545,1982-07-20,0,1 HOUR,42401
546,1982-07-21,0,1 HOUR,42401
547,1982-07-21,0,1 HOUR,42401
548,1982-07-22,3,1 HOUR,42401
549,1982-07-22,3,1 HOUR,42401
550,1982-07-23,10,1 HOUR,42401
551,1982-07-23,10,1 HOUR,42401
552,1982-07-24,60,1 HOUR,42401
553,1982-07-24,60,1 HOUR,42401
554,1982-07-25,17,1 HOUR,42401
555,1982-07-25,17,1 HOUR,42401
556,1982-07-26,52,1 HOUR,42401
557,1982-07-26,52,1 HOUR,42401
558,1982-07-27,0,1 HOUR,42401
559,1982-07-27,0,1 HOUR,42401
560,1982-07-28,59,1 HOUR,42401
561,1982-07-28,59,1 HOUR,42401
562,1982-07-29,0,1 HOUR,42401
563,1982-07-29,0,1 HOUR,42401
564,1982-07-30,0,1 HOUR,42401
565,1982-07-30,0,1 HOUR,42401
566,1982-07-31,24,1 HOUR,42401
567,1982-07-31,24,1 HOUR,42401
568,1982-08-01,39,1 HOUR,42401
569,1982-08-01,39,1 HOUR,42401
570,1982-08-02,0,1 HOUR,42401
571,1982-08-02,0,1 HOUR,42401
572,1982-08-03,59,1 HOUR,42401
573,1982-08-03,59,1 HOUR,42401
574,1982-08-04,19,1 HOUR,42401
575,1982-08-04,19,1 HOUR,42401
576,1982-08-05,10,1 HOUR,42401
577,1982-08-05,10,1 HOUR,42401
578,1982-08-06,10,1 HOUR,42401
579,1982-08-06,10,1 HOUR,42401
580,1982-08-07,0,1 HOUR,42401
581,1982-08-07,0,1 HOUR,42401
582,1982-08-08,0,1 HOUR,42401
583,1982-08-08,0,1 HOUR,42401
584,1982-08-09,0,1 HOUR,42401
585,1982-08-09,0,1 HOUR,42401
586,1982-08-10,14,1 HOUR,42401
587,1982-08-10,14,1 HOUR,42401
588,1982-08-11,7,1 HOUR,42401
589,1982-08-11,7,1 HOUR,42401
590,1982-08-12,7,1 HOUR,42401
591,1982-08-12,7,1 HOUR,42401
592,1982-08-13,56,1 HOUR,42401
593,1982-08-13,56,1 HOUR,42401
594,1982-08-14,44,1 HOUR,42401
595,1982-08-14,44,1 HOUR,42401
596,1982-08-15,66,1 HOUR,42401
597,1982-08-15,66,1 HOUR,42401
598,1982-08-16,57,1 HOUR,42401
599,1982-08-16,57,1 HOUR,42401
600,1982-08-17,30,1 HOUR,42401
601,1982-08-17,30,1 HOUR,42401
602,1982-08-18,31,1 HOUR,42401
603,1982-08-18,31,1 HOUR,42401
604,1982-08-19,11,1 HOUR,42401
605,1982-08-19,11,1 HOUR,42401
606,1982-08-20,91,1 HOUR,42401
607,1982-08-20,91,1 HOUR,42401
608,1982-08-21,0,1 HOUR,42401
609,1982-08-21,0,1 HOUR,42401
610,1982-08-22,17,1 HOUR,42401
611,1982-08-22,17,1 HOUR,42401
612,1982-08-23,94,1 HOUR,42401
613,1982-08-23,94,1 HOUR,42401
614,1982-08-24,0,1 HOUR,42401
615,1982-08-24,0,1 HOUR,42401
616,1982-08-25,21,1 HOUR,42401
617,1982-08-25,21,1 HOUR,42401
618,1982-08-26,0,1 HOUR,42401
619,1982-08-26,0,1 HOUR,42401
620,1982-08-27,14,1 HOUR,42401
621,1982-08-27,14,1 HOUR,42401
622,1982-08-28,17,1 HOUR,42401
623,1982-08-28,17,1 HOUR,42401
624,1982-08-29,0,1 HOUR,42401
625,1982-08-29,0,1 HOUR,42401
626,1982-08-30,0,1 HOUR,42401
627,1982-08-30,0,1 HOUR,42401
628,1982-08-31,0,1 HOUR,42401
629,1982-08-31,0,1 HOUR,42401
630,1982-09-01,0,1 HOUR,42401
631,1982-09-01,0,1 HOUR,42401
632,1982-09-02,0,1 HOUR,42401
633,1982-09-02,0,1 HOUR,42401
634,1982-09-03,39,1 HOUR,42401
635,1982-09-03,39,1 HOUR,42401
636,1982-09-04,29,1 HOUR,42401
637,1982-09-04,29,1 HOUR,42401
638,1982-09-05,7,1 HOUR,42401
639,1982-09-05,7,1 HOUR,42401
640,1982-09-06,0,1 HOUR,42401
641,1982-09-06,0,1 HOUR,42401
642,1982-09-07,20,1 HOUR,42401
643,1982-09-07,20,1 HOUR,42401
644,1982-09-08,7,1 HOUR,42401
645,1982-09-08,7,1 HOUR,42401
646,1982-09-09,0,1 HOUR,42401
647,1982-09-09,0,1 HOUR,42401
648,1982-09-10,9,1 HOUR,42401
649,1982-09-10,9,1 HOUR,42401
650,1982-09-11,0,1 HOUR,42401
651,1982-09-11,0,1 HOUR,42401
652,1982-09-12,10,1 HOUR,42401
653,1982-09-12,10,1 HOUR,42401
654,1982-09-13,0,1 HOUR,42401
655,1982-09-13,0,1 HOUR,42401
656,1982-09-14,0,1 HOUR,42401
657,1982-09-14,0,1 HOUR,42401
658,1982-09-15,17,1 HOUR,42401
659,1982-09-15,17,1 HOUR,42401
